beseech	to beg, plead, implore
fluster	to make nervous, embarrassed, or confused
enamored	fond of; feeling love towards
ineluctable	certain, inevitable
invidious	offensive, hateful; tending to cause bitterness and resentment
plangent	pounding, thundering, resounding
incumbent	one who holds a specific office at the time spoken of
nugatory	of no value or importance
contentious	quarrelsome, inclined to argue
denouement	an outcome or solution; the unraveling of a plot
predilection	preference
affinity	an attraction to
sanguine	cheerful; optimistic
choleric	easily angered
physiognomy	facial features
temperament	a person's or animal's nature, especially as it permanently affects their behavior
humor	a mood or state of mind
augury	a sign of what will happen in the future; an omen
cosmopolitan	including or containing people from many different countries
intransigent	unwilling to change one's view
mercenary	primarily concerned with making money, potentially at the expense of ethics
insular	ingorant of, or uninterested in outside cultures and ideas
capricious	sudden changes of mood, or behavior
clamorous	loud and confused noise
numinous	having a strong religions or spiritual quality
empirical	verifiable by observation, not just based on theory
sonorous	imposingly deep and full
dearth	a scarcity, a lack of something
ambiguous	open to more than one interpretation
gainsay	deny, contradict
sterling	excellent or valuable
prescient	having or showing knowledge of future events
proprietary	relating to an owner or ownership
didactic	having educational purposes
perpetuate	keep alive, make something continue indefinitely
feeble	weak, frail
turbulent	characterized by conflicts and disorder
augment	make greater by adding to it; increase
repudiate	refuse to accept or be associated with
brook	tolerate or allow
wont	in the habit of doing something
fecund	fertile
verisimilitude	the apperance of being true or real
irascible	having or showing tendency to be easily angered
exasperation	a feeling of intense irratation or arrogance
decry	publicly denounce
condone	accept or allow something to continue
explicable	able to be accounted for or understood
loath	reluctant; unwilling
censure	the expression of formal disapproval
supplant	supersede and replace something or someone
sift	examine something thoroughly so as to isolate that which is most important or useful
neophyte	a person who is new to a subject, skill, or belief
zealot	a person who is fanatical and uncompromising in pursuit of their religious, political, or other ideals
motley	incongruously varied in appearance or character; disparate
monolithic	formed of a single entity, indivisible and uniform
nepotism	the practice among those with power or influence of favoring relatives or friends, especially by giving them jobs
partisanship	a strong adherence, dedication, or loyalty to a political party
vacillation	the inability to decide between different opinions or actions; indecisive
futile	incapable of producing any useful result; pointless
flippant	lacking respect or seriousness
discursive	digressing from subject to subject
tendentious	expressing or intending to promote a particular cause or point of view, especially a controversial one
alluring	powerfully and mysteriously attractive or fascinating; seductive
invenerate	having a particular habit, activity, or interest that is long-established and unlikely to change
exigency	an urgent need or demand
hodgepodge	a confused mixture
fractious	irritable and quarrelsome
sagacious	having or showing keen mental discernment and good judgment
affable	friendly, good-natured, or easy to talk to
eroded	gradually wearing away
chivalrous	courteous and gallant, especially toward women
impetuous	acting or done quickly and without thought or care
boorish	rough and bad-mannered
circumspect	risk-averse, unwilling to take risks
forbear	politely or patiently restrain an impulse to do something; refrain
jettison	abandon or discard
contrived	deliberately created rather than arising naturally or spontaneously
adversarial	involving or characterized by conflict or opposition
untenable	(especially of a postion or view) not able to be maintained or defended against attack or objection
efficacious	successful in producing a desired or intended result; effective
dichotomy	a division or contrast between two things that are or are represented as being opposed or entirely different
adduce	cite as evidence
trifling	unimportant or trivial
conspicuous	standing out so as to be clearly visible
precarious	not securely held or in position; dangerously likely to fall or collapse, or uncertain, dependent on chance
incommensurable	not able to be judged by the same standard as something
acrimony	bitterness or ill feeling
dissension	disagreement that leads to discord
comity	courtesy and considerate behavior toward others
mordant	(a thought) having or showing a sharp or critical quality; biting
extrapolate	extend the application of a method/conclusion to an unknown situation in another field or to predict the future
insurmountable	too great to be overcome
oust	drive out or expel (someone) from a position or place
belie	fail to give a true notion or impression of (something); disguise or contradict
obviate	remove (a need or difficulty)
accentuate	make more noticeable or prominent
undue	unwarranted or inappropriate because excessive or disproportionate
scant	barely sufficient or adequate
dwindle	diminish gradually in size, amount, or strength
abbreviate	shorten the duration of; cut short
felicitous	well-chosen or suited/pleasing and fortunate
bolster	support or strengthen; prop up
corroborate	confirm or give support to (a statement, theory, or finding)
outstrip	exceed
erudite	having or showing great knowledge or learning
precipitate	cause (an event or situation, typically one that is bad or undesirable) to happen suddenly, unexpectedly, or prematurely
judicious	having, showing, or done with good judgment or sense
acrimonious	angry and bitter
