index,word,day,correct,tested,definition,example
0,beseech,0,0,0,"to beg, plead, implore",The servant wants to beseech the king for food to feed his starving family.
1,fluster,0,0,0,"to make nervous, embarrassed, or confused",There's nothing you can do or say to fluster Frank.
2,enamored,0,0,0,fond of; feeling love towards,It is not difficult to see why Edward is enamored of her.
3,ineluctable,0,0,0,"certain, inevitable","After being, in turn, anxious, angry, and sometimes morose, he accepts the coming ineluctable defeat with serenity."
4,invidious,0,0,0,"offensive, hateful; tending to cause bitterness and resentment",I was shocked to learn my best friend was spreading invidious rumors about me.
5,plangent,0,0,0,"pounding, thundering, resounding",There was the plangent and echoing sound of sea waves.
6,incumbent,0,0,0,one who holds a specific office at the time spoken of,He defeated the incumbent governor by a large plurality.
7,nugatory,0,0,0,of no value or importance,A nugatory and pointless observation.
8,contentious,0,0,0,"quarrelsome, inclined to argue",The socioeconomic plan had been the subject of contentious debate.
9,denouement,0,0,0,an outcome or solution; the unraveling of a plot,The film's denouement was unsatisfying and ambiguous.
10,predilection,0,0,0,preference,I have a predilection for Asian food.
11,affinity,0,0,0,an attraction to,He has an affinity for the music of Berlioz.
12,sanguine,0,0,0,cheerful; optimistic,She is sanguine about prospects for the global economy.
13,choleric,0,0,0,easily angered,A choleric and self-important little man.
14,physiognomy,0,0,0,facial features,Friends began to notice a change in his physiognomy after he hears the news.
15,temperament,0,0,0,"a person's or animal's nature, especially as it permanently affects their behavior",She had an artistic temperament and so no wonder why she thinks like one.
16,humor,0,0,0,a mood or state of mind,Her good humor vanished.
17,augury,0,0,0,a sign of what will happen in the future; an omen,They heard the sound as an augury of death.
18,cosmopolitan,1,0,0,including or containing people from many different countries,"I have never seen a diverse place as this city, so no wonder it is called the cosmopolitan metropolis."
19,intransigent,1,0,0,unwilling to change one's view,"Her father had tried persuasion, but she was intransigent and refused to listen."
20,mercenary,1,0,0,"primarily concerned with making money, potentially at the expense of ethics",A mercenary Wall St broker.
21,insular,1,0,0,"ingorant of, or uninterested in outside cultures and ideas",Stubbornly insular farming people.
22,capricious,1,0,0,"sudden changes of mood, or behavior",Our livelihood hinges on a capricious boss. It's terrible.
23,clamorous,1,0,0,loud and confused noise,"A jostling, clamorous mob."
